Spam-Label,Document,value
0,Doc0,"Hello. Hi, John. Hi Merlin, how's it going? Good, I'm sorry. I'm a little late. Oh, no, never. You know, I'd like to be on time here. Yeah, I kind of do not let me know I have been I have that. I don't think she liked it. No, you're right. I think you like to leave things might might might might like myself you do things on your own terms. You decide what it's time to jump on the plane or jump off of the train, you know right in the rail, but you know, I have an application and have an outlet Ross. What is it? Well, I mean Mr. Crystal Crystal Blue Persuasion, Mr. This other call me. Mr. Fahrenheit. The albatross is I said this before but I like to repeat this message for the young people for the teens in the youth. That's what we're doing the show for the Youth. This is the you know, Millennials one of the show. I know they do it for such a finally realized today that I'm one of your away from being a baby boomer if that's don't come on. It says it's like 45 to 55. How's that? That that Line in the Sand it's been shipped and it's been shift in the whole time. That wasn't true when you were 24 wasn't sure I thought it was Generation X. I don't know. I think I am. Come on. Which one is Obama Obama? Which one is it is his birthday sporting Kenya lot of people leave out the if your baby boomer, he brings a lot of babies. He's he's killer with the drugs. Where is my little thing? Anyway, there it is. Anyway, if it's not you might have another truck. I have an albatross which you that your a baby boomer know. I'm a big boy. I didn't flood like I know everybody says I got stepped over. Yeah, you can you can take care of things and I actually quit ringing it chair as I say that we're having around a boy. I catch a fish, but I wanted it been cut. This is Dylan at I'm I'm I Albatross is that I was very late for everything through most of my with the years were I had a choice. I was only lazy as in through the years. I had a choice to be better. I was still a 4 things 5:30. I was late for things. Oh, yeah, and it didn't really I didn't really tell sociopathic and disrespectful of my colleagues and friends that was and I felt ashamed about it and I don't know when it exactly happened. It's some point probably in my late thirties. I just made a practice of thing. I'm going to be early for everything."
0,Doc1,"This episode of Roderick online is brought you by black black is a collaboration hug for work no matter what work you do. You can learn more right now about flight by visiting flag.com and by square space we can turn your cool idea into a new website and learn more about square space right now by visiting Square space.com slash super training. Hello. Hi, John, emmerling. How's it going? How my going yeah, how are you going? Ohh, I'm fine. How are you going? Alright, we got a jack hammer situation is alright and we got the train got a jack hammer. I got a lot going on here longer than what are the Jack and pavement. They're out there looks like it might be the death of government. I think it's the pgne. Well, so they're just doing it in the sidewalk or in the street or other in the street there in the street threw out there. Just jamming away. Yeah. Yeah 10 a.m. On Monday and then end end end end end. So think you think that they would have doors in the street or something. So they wouldn't have to they would have to break up the payment like that every time that's a good idea like an access panel. Yeah. They just had a man. What do you need? What do you need? It is in there. It's like eating a lot Doors door any hinge probably a way to lock it. Yeah, but I mean, I'll send you a letter person now. You know III everybody my neighborhood. It's probably there if they're not doing bubble tea there probably podcasting will heads up with her I sure here soon like the alarm formation about elections on my door, but nobody told me using my Jackhammer so I could find that out for myself. They should do one of those door hanging things where they put it on your door knob and Lizzie just leave it on the ground. Something says that FYI tomorrow at 8 a.m. Or whatever we're going to start to hammer else and people John. I just saw thing on the door now and good. God bless you get out and vote. It's it down for that. You vote, but please stop knocking on my door. I really just I don't want to talk to anybody. I appreciate it. I'm going to go and vote for love of God don't knock on my door. It seems that seem a little certificate for Sam people. So now they're very organized. You know, they they walk them single file to discuss our numbers, you know, you you know are too bad. I feel like what we've been saying on this program for many years. He is always vote. I'm I'm seeing a lot of people there like please a lot of people saying please vote or you know, right now the internet is full of people encouraging you to vote. But if you're a dedicated listener try to come the line, you know, you should always vote in every election no matter how small this one is no more or less important than any other because all elections. Yes, I agree. I am privileged. My voting spot is about Mmm Mmm it let's call it. I was calling 160 feet from my house. That is that is pretty nice. I do our pictures spot 19 years ago, and I'm not bugging you. Everything I need is right here based on how close to the polling place was I can look at the Big Creek directly there."
0,Doc2,"Hello. Hello. Hi, John. Hi, Marie, how's it going? Good, listen, you technical pinstripe? Seems to be working 6 to be working. I think I can hear you fine and street car. I heard it. Nice and Loud Dr. How's it going? Covid back problem know I'll get to our customer support call but I would hear about your back. What's going on your back? I don't think you do. I don't think anybody wants to hear about it. Now. I don't see that people people concerned now, that's the problem. It's just but you know at least to get on this show and I just be like dog killed spies and I'm you know, like down and helicopters. I was excited to hear that you're Trail cutting plan made it onto Omnibus that made me very happy. Well, I know, you know, the truck cutting plan is actually like going to make it into government policy along here. Yeah God willing this government but well can't can't seem to a little bit skeptical. Well, alright. Well, I suppose he kept looking at the I don't know trying to tease out the ugly side of it as being some kind of incarceration instead of seeing it as a way of helping. Yeah. That's right. That's true. That's true of the response to a lot of plan. The bigger the plan the heart of the push back the start. I was trying to somebody in Seattle not very long ago, but my plan for like like a, you know, I'm sorry about housing and how we're going to be clear that the plans Smith so far apart you're willing to you know, right? Yeah. Yeah, I'm sick. If you can't you just bring it on people that you got to go little bit of time getting used to the idea of John's plan. Yeah. It's ass. It's a broad sketch. It just involves first. I got a pair of the land and they're like my like mother knows bear with me and then and then we employed The Architects so like, you know, they are context. So yeah, I've got a great plan but that's the problem, right if they've you know, it it everything works perfectly. If as long as everybody shares 100% the same I don't think that's too much to ask especially if you go to use the word to vulnerable parents who have their wit's end the ready to pay for for one of those coffee places where the kids go groomers his and get off get off squeak, you know, but but maybe John comes in John's architect comes it may be dressed as a bishop. I'm thinking comes in and says, it's John has a plan for you can trust the Smokey Bear school at Smokey Bear Bishop, but you got food"
0,Doc3,"This episode of erotic on the line is brought to you by Casper Casper's an online retailer of Premium mattress is that you can get delivered to your door for a fraction of the price that you pay in stores. You can use the offer code super train for $50 off your purchase, please go and visit Casper dot calm slash super train. Hello, John. Merlin how's it going? I'm a little bit sick. Yeah. Yeah sore throat, right? Yeah, but now it's not a sore throat, but he eaten. Chocolate croissants. Okay, he found Dolores. I'm a little goler Hall. Don't be Dolores. Come on. It's a little bit everything, you know, no no, no, no, no don't daughter-in-law. I was up very late last night. It's a long story. So the day before there's a place for a long story. This is the home. You know, who did this. This is this is your sister life raft, long story. Alright, so years ago when I moved into my house the people that it Fixed it up. I've talked about this they did that is terrible job here. Currently they need some pretty weird decisions that did not have the Longview in mind. That's right. Yeah, if it did anything to put in a phone call, but maybe some weird like recessed lighting or something like that. There's no firemen's pole. Come on. Yeah. How about your book shelves me when you move your book shelf for you you put like to head on your Shakespeare their switches. Is there anything that that I forward to you? And then same location in the house not a warm. How do you not put that at the top of the lowest about through there to him doors? But here's the thing if you're if you're going to I mean if you're going to make changes to your house, you really should begin by making sure that you have cool hidden panels doorways and tunnels not everything you do after that the wiring the plumbing where you put the new half bath. It's all going to be governed by where the core doors are cuz you got a new core doors now proceed small. When you that's one of the things that infuriates me the most about Quantum of Solace or whatever the fuck that movie was. Nothing more: yeah, where they've got there. He's got this beautiful house in the middle of nowhere and he's got this Amazing Escape tunnel next to the fireplace and it goes down into this amazing Warren Escape rooms. And then It's never fully covered in the movie, but you go out tunnel and then it just sort of appears in the yard and there's no like it if you know if you'd like a big field for you easily spot it. Well that yeah, right. It doesn't go. It just goes out into the septic."
0,Doc4,"This episode of Roderick on the line is brought you and part by square space start building your website today at Square space.com. No credit card required and the offer code super training at checkout to get 10% off and by America votes with Cards Against Humanity make your voice heard with Cards Against Humanity as they offered to new expansion packs about Hillary Clinton and Donald Trump learn more right now by visiting America votes with Cards Against Humanity dot calm.Boy, hi, John emmerling going good for Thursday, June 4th, and it was all my God know what what caused that time. Well, see, here's the thing thinking about the internet, you know, the way it's provided to you. I don't know what it's like country, but I don't know. I don't know what it's like but here in American provided to you by a company right now, even though the internet itself exists Guinness beer right at the series of tubes under the Rocky Mountains in Salt Lake City.Enrolled salt mine owned by Jeff Buckley is it has 10 drawers that come out via by a tooth and orbs, but I'm largely located in Colorado. That's my sense of it between Salt Lake and Colorado. There's a giant tunnel that used to be a salt. Mine that now has a bio Hazard billboard outside of it. Okay, so that's Martin. Yeah. So the future Generations when they don't speak it languages anymore and they're just wondering the desert post apocalypse here be dragons, right? Exactly. They see the pointy bio hazard sign. They know that either there's a giant metal concert happening there or that's where the internet live don't mess with it. I guess you finally found a way to contain it. Yeah, right, but the tubes the 10 roles. Let's calm Dental Kendall's him the 10 roles come out and then at some pointThere is coitus interrupted. Between the generals and me and in between there is a portal. Let's call it. Let's call it a valve monkey. I should be writing all this down. You got you got you got the cold storage when the spec he signs. That's that's where they mainly keep the internet and then through a series of 2 orbs attend rolls and portals. There are various methods by which the internet does or does not get to John Roderick, right and the valves are controlled by companies else. Okay, right in my case at my office. The valve is controlled by a company called wave John that you have many many options for your internet provider at your office at my office way."
0,Doc5,"Hello. Hi, John. Hi, Berlin, how's it going? Super good early this time to splash some water on my face and 8/2 of a cold sausage. Just kind of depends Ian. Please sir. I have some more cold sausage. Careful what you have for Monday with the Jew faggot. Here's a question for you, man. This is probably actually I question for Don Schaffner know I'm happy speculate. How long can you leave up like a pan of cold grease on the stove? Before the grease goes bad for it gets Rancid. Strictly speaking. So I wasn't thinking it's Tangles here one angle. Is that like you made some lamb or see outing? Okay. What how how many days is it before you really want to be careful to put your spoon in there and accidentally like it. Well, I don't think it's I don't think it's going to go bad in the sense of it. I don't know if it has it is like you wouldn't want to like pour that into a coffee cup and then like, you know drink out of it. I'm not sure that Hazard. This is the is the standard I think it anymore. It's more tasty whether it becomes because you know butter sits out. It never goes. It's not going to get bachelor party. Was it like I will use Greece. Are you serious in grease out as I recently moved to Lord knows the hell out of some Grace. Yeah, exactly. I think that used to be like a tradition here. We need to keep it. I remember in the later part of my youth we kept we would pour bacon grease in your coffee can do mostly so we could throw it out. But I think I suspect that had his origins in we're going to put this in here and then we use it for real. So yeah, babe. My mom always had it in just wrote perfectly. Good Greece Away by good pal Bob Wood up in Alaska. Mom, Bob had the mom and drag Club Sun Sushi T. If that's right. That's Bob's mom. Got your gut. I love Bob so good, but would yeah, you know, Bob would used to keep you know, you had a big he had like a like a 10 gauge or 12 gauge cast iron pan that is left on the stove at all times and it always had bunch of Greece in it hurt, you know, maybe not an inch but like it because the bottom no, no, no thicker than that. Yeah, you know, it was like it was"
0,Doc6,"Hello. Hi, John. Hi, Merlin. How's it going? Hello pretty good boy. Where you at making bacon? Noah but I did I went to sleep early and then I woke up the middle of the night. That's how that you know how that is. Yeah it is. Oh no. No, no. Well, what's the housewives struggle for us to go to bed early and then get up in the middle tonight is traveling cuz you know what your cycle is off and you like it's like it's 7:30, and I'm tired. You're like the power through til 10. Yeah, but I I will I was like I'm going to bed at midnight and yeah, like I like I keep planning like a normal better than 2 like a square like a regular and then at 2:45 a.m. I popped awake was like Gary is hello everybody. Yeah, it's when I get up to urinate it some point during the night that all of my anxiety come swing through and now I've made it a habit. So it's working out real nice and a regular 00. So you get up and get a little bit midnight Midnight time just you and your anxieties her and for me, it's like between 2 and 4 get up be like a gentleman. I think once in the night usually Indian at this point, I'm I'm sure that'll change many more opportunities for this in the future. But yeah, that could be a 5 minute to 1 hour or two longer like thing for me. You probably do you don't get that. Well, you know, it's hard to think about anxiety. Cuz it's hard for me to I think this is probably true for a lot of people if it was it was for a long time hard for me to know what it felt like because it would mask itself is other things and I think I still have that problem. I can't tell when I don't it's very rare when I can sit and say like always I'm feeling any Zaya tea. It's like it always comes, you know pads in on little cat feet. I wish I had the same thing in Reverse. We're foot long time. I mean, I've had a lot of people in my life with various kinds of depression treated treated like a media player ality like a lot and I always I always feel like I could save us some confidence. I don't I don't have to press and I have anything but depression. I'm I'm happy guy has it if anything I have the office of depression I get very anxious and it wasn't until fairly recently that more more people would say that lease that I heard would say, well, you know anxieties hook. Big side effects depression, you know that they're they're fruit from the similar tricks. I brought me the Habit habit of anxiety, you know and not to be rude is but like if you have about that and you can you know, kind of let it pass away here. Okay. The problem is if you make it part of your habit, and I think that's true for almost any kind of emotional or mental deficit is like we can really hey. Happy New Year. This is good stuff."
0,Doc7,"Hello. Hey John. Hi Merlin, how's it going? Good good. I just texted you and I said good to go. And you responded real real real good to go. You've been traveling a lot lately. Have you been taking up new internet? Jargon? Well, you know, you wouldn't have to be traveling to pick up new internet Charter. That's a very very good point. But but the position thinking that I bring to this conversation. Well, I know you also think that the internet is in person and that when you go around here just seeing different internet's. Yeah. I mean, you know corporations can be people of course. Yeah plans can be people have a plan. So, how's it going here right now? Yeah, pretty much. We love to talk to you in a long time. She had talked in a long time. It seems like a long time. I'm going to come up with a name for how I find out whether you're recording or not. And it's a it's a process. I'll try Paul's me texting you texting members of your family and your circle is John. Okay strong. Okay. That's a that's a popular text. Yeah. I mean he goes me sometimes which is normal but like I hadn't heard from you in a while and I was getting a little bit frantic cuz I had to do a little bit of a reschedule getting worried plant started. I texted your baby mama. I was looking at your Instagram cuz sometimes sometimes I can get little bit shocked homes and I can gather the facts if I see that you're on the East Coast on a Sunday night that sometimes it's a clue but I like to get confirmation from the source as they say in journalism, but you had a next Winkle you don't need to address that but but the other wrinkle is which of course you could I think your phone broke I broke my phone Jesus did actually I think that it's saved me save me considerable injury. I'm not sure how but the the amount of energy that it absorbed if it had not absorbed it it would have been absorbed by my body. And so let there my name Amex John is that how that works that is of emails. Like I've thought about this quite a bit like that exactly true or did it just but no the damage that it sustained. It didn't just transfer the the energy directly through itself into meeting. Is this physical damage, but then is a deeper kind of knew Tony in black mole goes on here. I'm wondering right? I mean I am not a scientist. No rights, although I play one on CD you too. Yeah. but yeah Shirley if it was if I if I had fallen on a phone shaped piece of like hardened steel. I think that that phone shaped piece of hardened steel would have"
0,Doc8,"Hello. Yeah. Hi John emmerling. How's it going? It's going okay, you sound extra good today cuz alright, what did you do something different? You know, I'm just working out all kinds of differences. Are you in the basement know although also, I hope you think you're going to get past that grown buddy follow up for you. I have I have now cheve to state where the basement is a constant 65 degrees, which is very appealing. I'll purpose. Yes, it will never get it will never get nicer than that. I'll take a 6580 day right God's goodness. It's you know used to be a root cellar in there like Cole Cole whole Tahoe. All right. Now it's you know now to Thompson temp so it's not but it's C II. I've been taking this for a long time. I think I know what it Root Cellar is that's where you put like to be put be put up some two birds for winter. Is that what that means any other kind of thing so you get a rutabaga? How's it going to work? I don't know. It's it's one of those land vegetables. Yeah, I mean, I think that's where you put your canning, you know, hook it up peaches. Yeah, you put pictures up it down in there. I think well, but maybe a root cellar is Even Steven dark ear and and must be or than that. Alright. I'm going to look it up throw your roots down in a in a in a bit right there. It's always got a route been I think I should have been in the seller and you don't anyhow, I Ronica part is you don't really put them up and put him down. Alright put around you do a dog, but I think that your put your pictures up cuz he took the pictures of roots down put your pizzas up on the on the Shelf down in the seller. Okay. It's like the theme 2 Took the the theme song to The yeah, that was a there was a wonderful reference. I was about to make that I did, you know, it's very early vegetable stored in the middle. I primarily girl fists of potatoes turnip carrots supplies placing The Root Cellar over the winter months include beats onions Gerard is Harrison James salty salt turbo Turbo salt Herring subpoena peanut butter squash and cabbage single mention of a rutabaga. Now, I see that has route right in the mail. I think I've rutabaga might be of vegetable capture. I've never seen a rutabaga in use. I think it might be a canary Trapper. I fall flag when I see who the big at the store no disrespect to it because I'm sure somebody is I'm sure that somebody's well what imagine that somebody's favorite vegetable. I know, you know when even know what part of it to eat. It looks in pregnant. Let's see rutabagas."
0,Doc9,"Hi, John. Hi, Merlin. How's it going? Good, this is Sue. This is so weird, you know many people here and I can't get that. I cannot be home sick. Don't blow your flu on Marilyn. I tried to play it off legit, but I've been fucking our to use all night everything literally asses and literally all very nice to meet you. So we do the bump. I made him hug me and I actually at 6 3 days ago you were so I'm so sick. My daughter threw up on me as kids do I don't know. It's lovely when they do it was this week? Yeah when your apparent chairs this moment and someone had been feeding her Cheetos. So it was like a thing that was never going to come out. And then 60 hours to the minute later. I felt really bad inside, but I'm like a little child. I refuse to throw up. Cuz I'm a big boy, and so I thought it just Valiant Lee fought it 412 straight hours of just like the misery. So you were on the verge. Did you knew that you could have some you feel he was going to be a release or would you be so mad at yourself or giving up there when you even feel good 741 of the release and then I could not what about what about downstairs doesn't Ilion upstairs offer. It was one of those things that could go either direction. Okay standing at the crossroads. Yeah, and again angry Cthulhu inside. They can't decide I'll decide which way I'm going don't you worry about that the devil was there at 1 and to learn to play get some good as yours came up to me and there were a few times where I was like, this is it I'm going to throw up and I went yeah and nothing and then finally finally at the end of the night I said goodbye to everybody. Good night. I'll see you guys tomorrow went up to the room and the people in the 5 hotel rooms around mine all pulled the fire department. Because I was just like there appears to be some kind of a rate rating and it's upside down. Yeah kids ring considered about that kind of stuff. I can't get that can't happen or not. But like I don't know how I know whether I don't know where this is been thinking about the flu and they're saying about the h 2 N 3 to McDermott get around getting that right any biologist near room h 2 & 3. Thanks and either last 3 albums. It's a real bad one. And you know, you can't you can't inoculated against it. It just comes and it does what it wants with you. It takes you and it's been it's me D pause. Yes."
